,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
34,34,1.218469187617302,0.13590527272999608,2026-03-07 14:37:55.852207,2026-03-07 15:10:17.191304,0 days 00:32:21.339097,16,0.00016,768,0.085,0,COMPLETE
35,35,1.103735476732254,0.21451217566159597,2026-03-07 15:10:17.192236,2026-03-07 15:41:54.889240,0 days 00:31:37.697004,32,0.00072,768,0.0,0,COMPLETE
36,36,1.2092335753970676,0.17459451082897176,2026-03-07 15:41:54.890187,2026-03-07 16:07:19.480322,0 days 00:25:24.590135,16,0.00014000000000000001,512,0.055,0,COMPLETE
37,37,1.035753064039277,0.3175468657034576,2026-03-07 16:07:19.481281,2026-03-07 16:17:21.140500,0 days 00:10:01.659219,8,0.0005600000000000001,256,0.025,0,COMPLETE
38,38,0.9519316147013408,0.3525786103327697,2026-03-07 16:17:21.141590,2026-03-07 16:28:22.081294,0 days 00:11:00.939704,8,0.00048000000000000007,256,0.035,0,COMPLETE
39,39,1.048713591363695,0.336950468889826,2026-03-07 16:28:22.082742,2026-03-07 16:47:45.913978,0 days 00:19:23.831236,16,0.0008900000000000001,512,0.095,0,COMPLETE
40,40,1.028569568221162,0.33581915949746516,2026-03-07 16:47:45.914764,2026-03-07 16:58:46.640385,0 days 00:11:00.725621,8,0.00046000000000000007,256,0.05,0,COMPLETE
41,41,1.0191360456602914,0.3184169127543038,2026-03-07 16:58:46.641745,2026-03-07 17:36:49.028761,0 days 00:38:02.387016,16,0.0006200000000000001,1024,0.015,0,COMPLETE
42,42,0.9909100929896036,0.35694217802447625,2026-03-07 17:36:49.029503,2026-03-07 17:54:32.544558,0 days 00:17:43.515055,16,0.0005300000000000001,512,0.03,0,COMPLETE
43,43,1.01223310497072,0.3385661847130189,2026-03-07 17:54:32.545349,2026-03-07 18:08:51.334263,0 days 00:14:18.788914,8,0.00076,512,0.08,0,COMPLETE
44,44,0.9104682524998983,0.3728388019806033,2026-03-07 18:08:51.335163,2026-03-07 18:26:03.887306,0 days 00:17:12.552143,8,0.0008700000000000001,768,0.02,0,COMPLETE
45,45,1.0233237905935808,0.29793823674915776,2026-03-07 18:26:03.888140,2026-03-07 18:46:52.268537,0 days 00:20:48.380397,32,0.00033000000000000005,256,0.045,0,COMPLETE
46,46,0.967737445464501,0.31193093128764615,2026-03-07 18:46:52.269659,2026-03-07 19:20:59.927082,0 days 00:34:07.657423,8,0.0003400000000000001,1024,0.0,0,COMPLETE
47,47,0.9751128156979879,0.33960917370596794,2026-03-07 19:20:59.927999,2026-03-07 19:36:12.969009,0 days 00:15:13.041010,8,0.00042000000000000007,512,0.0,0,COMPLETE
48,48,0.9883176743984222,0.2500171604653764,2026-03-07 19:36:12.969833,2026-03-07 20:08:34.972803,0 days 00:32:22.002970,8,0.00015000000000000001,768,0.08,0,COMPLETE
49,49,0.9853450143482627,0.3523380497582715,2026-03-07 20:08:34.973415,2026-03-07 20:20:34.651332,0 days 00:11:59.677917,8,0.00041000000000000005,256,0.085,0,COMPLETE
