,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
32,32,2.550328087806702,0.0,2026-02-21 22:59:34.569661,2026-02-21 23:05:49.928541,0 days 00:06:15.358880,16,5.6459074003039325e-06,512,0.07814797017057835,0,COMPLETE
33,33,10.895289370888158,0.0013908444736181794,2026-02-21 23:05:49.929927,2026-02-21 23:12:05.811263,0 days 00:06:15.881336,8,1.090908890681493e-06,512,0.04792596691915172,0,COMPLETE
34,34,1.517431610508969,0.0,2026-02-21 23:12:05.812923,2026-02-21 23:18:16.491579,0 days 00:06:10.678656,8,1.230610961486458e-05,512,0.02864664931333647,0,COMPLETE
35,35,1.5242133328789158,0.0,2026-02-21 23:18:16.493487,2026-02-21 23:24:27.082057,0 days 00:06:10.588570,8,1.10682298938668e-05,512,0.021002268835092278,0,COMPLETE
36,36,41.192491912841795,0.003140789549020369,2026-02-21 23:24:27.083852,2026-02-21 23:31:09.289993,0 days 00:06:42.206141,32,1.1977263134528745e-06,512,0.07271438524774136,0,COMPLETE
37,37,1.5271124024140208,0.0,2026-02-21 23:31:09.291536,2026-02-21 23:37:20.181284,0 days 00:06:10.889748,8,1.0741378728033145e-05,512,0.00147459463788151,0,COMPLETE
38,38,1.8598362458379645,0.0,2026-02-21 23:37:20.182889,2026-02-21 23:43:30.830874,0 days 00:06:10.647985,8,4.20986403303186e-06,512,0.013598846901452511,0,COMPLETE
39,39,1.6064244747161864,0.0,2026-02-21 23:43:30.832406,2026-02-21 23:49:54.535406,0 days 00:06:23.703000,32,2.6786365169035293e-05,512,0.0999772631877943,0,COMPLETE
40,40,36.70750961303711,0.001546677422128046,2026-02-21 23:49:54.538225,2026-02-21 23:56:32.728516,0 days 00:06:38.190291,32,2.162046736270895e-06,256,0.0033313652930556437,0,COMPLETE
41,41,1.1288567781448364,0.04813922908673467,2026-02-21 23:56:32.731251,2026-02-22 00:02:45.244213,0 days 00:06:12.512962,16,0.000137794342930661,512,0.042978370202919995,0,COMPLETE
42,42,0.9746586084365845,0.12035736607281888,2026-02-22 00:02:45.245950,2026-02-22 00:09:06.363700,0 days 00:06:21.117750,32,0.0006684687084924534,256,0.044760701470794965,0,COMPLETE
43,43,1.465083034414994,0.0,2026-02-22 00:09:06.365210,2026-02-22 00:15:10.465626,0 days 00:06:04.100416,8,3.0150884897530794e-05,256,0.06826257852181089,0,COMPLETE
44,44,4.240072298049927,0.0,2026-02-22 00:15:10.467270,2026-02-22 00:21:24.826461,0 days 00:06:14.359191,16,3.5069652615130844e-06,256,0.009186511796565933,0,COMPLETE
45,45,1.1037659049034119,0.05519014418195355,2026-02-22 00:21:24.828161,2026-02-22 00:27:47.158142,0 days 00:06:22.329981,32,0.00038628086371759237,256,0.0956279494608548,0,COMPLETE
46,46,0.7235033261148553,0.24647620303404857,2026-02-22 00:27:47.159767,2026-02-22 00:33:53.870537,0 days 00:06:06.710770,8,0.00016029314625478199,512,0.006529986639718977,0,COMPLETE
47,47,1.4975040555000305,0.0,2026-02-22 00:33:53.872187,2026-02-22 00:40:04.467475,0 days 00:06:10.595288,16,6.11253174901699e-05,512,0.06188617430444307,0,COMPLETE
48,48,36.28935852050781,0.0015101899247488893,2026-02-22 00:40:04.469230,2026-02-22 00:46:33.304789,0 days 00:06:28.835559,16,1.1913761929158895e-06,256,0.07884835486426865,0,COMPLETE
49,49,0.6726052641868592,0.2831612901404417,2026-02-22 00:46:33.306507,2026-02-22 00:50:49.292924,0 days 00:04:15.986417,16,0.0007560094831936103,256,0.026647616169502765,0,COMPLETE
