,number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_max_length,params_weight_decay,system_attrs_NSGAIISampler:generation,state
34,34,0.4979661208827321,0.547725369801842,2026-03-13 00:35:43.560366,2026-03-13 00:51:26.850910,0 days 00:15:43.290544,8,0.00072,256,0.0,0,COMPLETE
35,35,0.4886603845017297,0.5546666666666666,2026-03-13 00:51:26.851754,2026-03-13 01:07:25.984728,0 days 00:15:59.132974,16,0.0008100000000000001,256,0.01,0,COMPLETE
36,36,0.49905733409382047,0.5158597662771286,2026-03-13 01:07:25.985576,2026-03-13 01:30:37.026003,0 days 00:23:11.040427,16,0.00014000000000000001,256,0.02,0,COMPLETE
37,37,0.5554529845714569,0.481598733676296,2026-03-13 01:30:37.026819,2026-03-13 02:19:20.243545,0 days 00:48:43.216726,32,0.00013000000000000002,512,0.085,0,COMPLETE
38,38,0.48691829873455894,0.5336543494190307,2026-03-13 02:19:20.244320,2026-03-13 02:34:44.928209,0 days 00:15:24.683889,8,0.0007700000000000001,512,0.025,0,COMPLETE
39,39,0.49592581958997817,0.5022552217056415,2026-03-13 02:34:44.928981,2026-03-13 02:52:29.222075,0 days 00:17:44.293094,16,0.00030000000000000003,256,0.0,0,COMPLETE
40,40,0.5175025280978944,0.5201046410231567,2026-03-13 02:52:29.222901,2026-03-13 03:13:35.497351,0 days 00:21:06.274450,8,0.00026000000000000003,512,0.095,0,COMPLETE
41,41,0.5110494948741866,0.5055813631006033,2026-03-13 03:13:35.498137,2026-03-13 03:44:51.894886,0 days 00:31:16.396749,8,6e-05,256,0.07,0,COMPLETE
42,42,0.49886285987767304,0.5256829871084095,2026-03-13 03:44:51.895788,2026-03-13 03:59:47.834434,0 days 00:14:55.938646,32,0.0008900000000000001,256,0.095,0,COMPLETE
43,43,0.5082611697060722,0.5250018574931272,2026-03-13 03:59:47.835241,2026-03-13 04:15:50.096985,0 days 00:16:02.261744,16,0.00047000000000000004,256,0.005,0,COMPLETE
44,44,0.5066740106452595,0.5171780393224028,2026-03-13 04:15:50.097792,2026-03-13 04:35:46.736261,0 days 00:19:56.638469,32,0.00039000000000000005,256,0.075,0,COMPLETE
45,45,0.492013849995353,0.5132151221144196,2026-03-13 04:35:46.737118,2026-03-13 04:50:48.917285,0 days 00:15:02.180167,32,0.0008700000000000001,256,0.085,0,COMPLETE
46,46,0.6678347471687529,0.3844631885868999,2026-03-13 04:50:48.918115,2026-03-13 05:48:26.518970,0 days 00:57:37.600855,8,2e-05,512,0.03,0,COMPLETE
47,47,0.4838593683459542,0.5290394379912359,2026-03-13 05:48:26.519896,2026-03-13 06:03:25.833556,0 days 00:14:59.313660,32,0.0008300000000000001,256,0.07,0,COMPLETE
48,48,0.5069518122408125,0.527951524628616,2026-03-13 06:03:25.834184,2026-03-13 06:34:08.535206,0 days 00:30:42.701022,16,0.00024,512,0.065,0,COMPLETE
49,49,0.4954722556802962,0.5174486030574591,2026-03-13 06:34:08.535976,2026-03-13 06:49:32.838242,0 days 00:15:24.302266,8,0.0008900000000000001,512,0.085,0,COMPLETE
